"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:apr08_g1ice1.CR1","16968","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","RH_Avg","SWin_Wm2_Avg","SWout_Wm2_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","%","W/m²","W/m²"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg","Avg","Avg"
"2008-07-14 14:55:00",20401,1.505,116.7,5.972,1.787,5.128,619.6,69.51,905,185.4
"2008-07-14 15:00:00",20402,1.523,124.3,7.879,1.725,5.034,597.8,70.33,897,185.7
"2008-07-14 15:05:00",20403,1.73,130.6,10.12,1.953,5.168,601,66.62,895,181.5
"2008-07-14 15:10:00",20404,1.635,122.9,9.67,1.918,5.259,603.6,67.62,891,178.2
"2008-07-14 15:15:00",20405,1.573,131.9,9.47,1.666,5.227,589.5,67.27,879,175.9
"2008-07-14 15:20:00",20406,1.274,135.7,6.455,1.584,5.402,609.7,65.16,889,178
"2008-07-14 15:25:00",20407,1.266,129,9.33,1.627,5.619,613.4,64.4,887,178.1
"2008-07-14 15:30:00",20408,1.044,125.4,13.51,1.307,5.765,611,64.65,888,178.8
"2008-07-14 15:35:00",20409,1.215,126.6,12.56,1.401,5.742,597.5,64.69,877,178.2
"2008-07-14 15:40:00",20410,1.302,123.8,10.58,1.728,5.572,615.8,65.96,894,183.2
"2008-07-14 15:45:00",20411,1.266,118.9,10.49,1.699,5.571,642.6,65.03,920,188.2
"2008-07-14 15:50:00",20412,1.408,125,8.52,1.744,5.645,643.9,63.39,914,186.6
"2008-07-14 15:55:00",20413,1.447,128.1,9.96,1.836,5.781,613.5,61.66,897,184.1
"2008-07-14 16:00:00",20414,1.507,127.6,14.05,1.8,5.651,608.9,63.09,894,184.6
"2008-07-14 16:05:00",20415,1.631,130.6,12.8,1.98,5.489,601.1,61.81,889,183.9
"2008-07-14 16:10:00",20416,1.866,149.1,12.73,2.087,5.517,582.5,61.46,881,183.8
"2008-07-14 16:15:00",20417,2.093,133.5,11.85,2.705,5.503,597.7,60.09,896,186.3
"2008-07-14 16:20:00",20418,1.824,143.9,8.75,2.234,5.77,563.3,58.98,839,174.3
"2008-07-14 16:25:00",20419,2.278,154.2,5.73,3.015,5.648,559.6,60.43,864,181.2
"2008-07-14 16:30:00",20420,1.66,145.9,8.02,2.61,5.511,597.8,61.52,893,185.2
"2008-07-14 16:35:00",20421,1.615,156.7,15.98,2.326,5.711,591.4,59.57,884,184.3
"2008-07-14 16:40:00",20422,2.548,137.1,9.41,3.218,5.746,548.4,59.13,858,180.7
"2008-07-14 16:45:00",20423,2.462,154.1,16.25,3.352,5.657,548.6,59.18,854,180.1
"2008-07-14 16:50:00",20424,2.887,157.7,13.52,4.596,5.669,518.5,58.82,833,175.6
"2008-07-14 16:55:00",20425,2.516,146.9,10.36,3.067,5.424,449.2,60.96,739.6,158.6
"2008-07-14 17:00:00",20426,2.444,156.1,11.37,3.42,5.717,518.8,59.08,825,176.2
"2008-07-14 17:05:00",20427,3.25,156.6,7.131,4.211,5.478,488.8,59.17,803,171.7
"2008-07-14 17:10:00",20428,2.31,149.4,14.39,4.456,5.745,514.7,58.27,808,171.1
"2008-07-14 17:15:00",20429,2.707,151.9,12.65,3.884,5.675,494,58.56,786,168.1
"2008-07-14 17:20:00",20430,3.011,163.9,10.41,4.831,5.597,251.7,58.83,469.4,101
"2008-07-14 17:25:00",20431,1.467,114.6,27.16,1.967,5.873,213.7,56.44,372.1,81.6
"2008-07-14 17:30:00",20432,1.226,143.2,25.59,1.999,5.836,237.5,57.47,391,82.6
"2008-07-14 17:35:00",20433,3.044,135,23.9,5.387,5.873,240.6,56.82,405.4,84.7
