"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1_MM_with_CMA6_23Jul2010.CR1","16968","HalfHour"
"TIMESTAMP","RECORD","DT","BP"
"TS","RN","m","hPa(mb)"
"","","Smp","Smp"
"2010-07-23 13:00:00",0,0.495,760.505
"2010-07-23 13:30:00",1,0.522,760.4799
"2010-07-23 14:00:00",2,0.53,760.4993
"2010-07-23 14:30:00",3,0.528,760.5574
"2010-07-23 15:00:00",4,0.535,760.7213
"2010-07-23 15:30:00",5,0.532,760.8511
"2010-07-23 16:00:00",6,0.538,760.9548
"2010-07-23 16:30:00",7,0.551,761.3322
"2010-07-23 17:00:00",8,0.559,761.3891
"2010-07-23 17:30:00",9,0.544,761.6781
"2010-07-23 18:00:00",10,0.526,761.8979
"2010-07-23 18:30:00",11,0.548,762.1836
"2010-07-23 19:00:00",12,0.535,762.389
"2010-07-23 19:30:00",13,0.522,762.6621
"2010-07-23 20:00:00",14,0.538,763.0034
"2010-07-23 20:30:00",15,0.533,763.2764
"2010-07-23 21:00:00",16,0.514,763.4812
"2010-07-23 21:30:00",17,0.507,763.7543
"2010-07-23 22:00:00",18,0.503,764.0305
"2010-07-23 22:30:00",19,0.502,764.3729
"2010-07-23 23:00:00",20,0.519,764.5735
"2010-07-23 23:30:00",21,0.504,764.8608
"2010-07-24 00:00:00",22,0.504,765.2155
"2010-07-24 00:30:00",23,0.508,765.4207
"2010-07-24 01:00:00",24,0.503,765.7018
"2010-07-24 01:30:00",25,0.504,765.858
"2010-07-24 02:00:00",26,0.504,766.0897
"2010-07-24 02:30:00",27,0.505,766.4263
"2010-07-24 03:00:00",28,0.505,766.4309
"2010-07-24 03:30:00",29,0.505,766.7083
"2010-07-24 04:00:00",30,0.506,766.9371
"2010-07-24 04:30:00",31,0.514,767.1448
"2010-07-24 05:00:00",32,0.518,767.5546
"2010-07-24 05:30:00",33,0.52,767.6912
"2010-07-24 06:00:00",34,0.522,767.7624
"2010-07-24 06:30:00",35,0.5,767.8962
"2010-07-24 07:00:00",36,0.498,768.0328
"2010-07-24 07:30:00",37,0.495,768.2378
"2010-07-24 08:00:00",38,0.494,768.511
"2010-07-24 08:30:00",39,0.503,768.7566
"2010-07-24 09:00:00",40,0.507,768.9796
"2010-07-24 09:30:00",41,0.497,769.0815
"2010-07-24 10:00:00",42,0.502,769.2589
"2010-07-24 10:30:00",43,0.502,769.3708
"2010-07-24 11:00:00",44,0.504,769.5393
"2010-07-24 11:30:00",45,0.513,769.5179
"2010-07-24 12:00:00",46,0.524,769.7396
"2010-07-24 12:30:00",47,0.525,769.7225
"2010-07-24 13:00:00",48,0.548,769.8504
"2010-07-24 13:30:00",49,0.526,770.1911
"2010-07-24 14:00:00",50,0.524,770.4675
"2010-07-24 14:30:00",51,0.526,770.7368
"2010-07-24 15:00:00",52,0.538,770.9486
"2010-07-24 15:30:00",53,0.535,771.173
"2010-07-24 16:00:00",54,0.536,771.448
"2010-07-24 16:30:00",55,0.538,771.4486
"2010-07-24 17:00:00",56,0.539,771.5681
"2010-07-24 17:30:00",57,0.545,771.7141
"2010-07-24 18:00:00",58,0.542,772.0613
"2010-07-24 18:30:00",59,0.546,772.0621
"2010-07-24 19:00:00",60,0.546,772.1702
"2010-07-24 19:30:00",61,0.547,772.2883
"2010-07-24 20:00:00",62,0.547,772.2958
"2010-07-24 20:30:00",63,0.548,772.4548
"2010-07-24 21:00:00",64,0.549,772.3277
"2010-07-24 21:30:00",65,0.547,772.4216
"2010-07-24 22:00:00",66,0.548,772.4918
"2010-07-24 22:30:00",67,0.547,772.6544
"2010-07-24 23:00:00",68,0.548,772.8206
"2010-07-24 23:30:00",69,0.548,772.8917
"2010-07-25 00:00:00",70,0.548,772.9102
"2010-07-25 00:30:00",71,0.548,773.0233
"2010-07-25 01:00:00",72,0.547,773.2628
"2010-07-25 01:30:00",73,0.547,773.3993
"2010-07-25 02:00:00",74,0.547,773.3993
"2010-07-25 02:30:00",75,0.546,773.3894
"2010-07-25 03:00:00",76,0.546,773.5073
"2010-07-25 03:30:00",77,0.546,773.6429
"2010-07-25 04:00:00",78,0.546,773.5063
"2010-07-25 04:30:00",79,0.546,773.6429
"2010-07-25 05:00:00",80,0.546,773.6429
"2010-07-25 05:30:00",81,0.545,773.402
"2010-07-25 06:00:00",82,0.544,773.6148
"2010-07-25 06:30:00",83,0.545,773.4768
"2010-07-25 07:00:00",84,0.544,773.4768
"2010-07-25 07:30:00",85,0.543,773.7286
"2010-07-25 08:00:00",86,0.544,773.7228
"2010-07-25 08:30:00",87,0.544,773.9935
"2010-07-25 09:00:00",88,0.542,773.925
"2010-07-25 09:30:00",89,0.543,773.9652
"2010-07-25 10:00:00",90,0.542,774.1611
"2010-07-25 10:30:00",91,0.541,774.0685
"2010-07-25 11:00:00",92,0.541,774.1626
"2010-07-25 11:30:00",93,0.543,774.2701
"2010-07-25 12:00:00",94,0.554,774.391
"2010-07-25 12:30:00",95,0.559,774.3905
"2010-07-25 13:00:00",96,0.556,774.3648
"2010-07-25 13:30:00",97,0.575,774.6053
"2010-07-25 14:00:00",98,0.569,774.4948
"2010-07-25 14:30:00",99,0.569,774.6025
"2010-07-25 15:00:00",100,0.572,774.4673
"2010-07-25 15:30:00",101,0.581,774.6315
"2010-07-25 16:00:00",102,0.593,774.8416
"2010-07-25 16:30:00",103,0.588,774.8654
"2010-07-25 17:00:00",104,0.586,774.8675
"2010-07-25 17:30:00",105,0.588,775.0042
"2010-07-25 18:00:00",106,0.592,774.936
"2010-07-25 18:30:00",107,0.595,774.9554
"2010-07-25 19:00:00",108,0.594,774.9656
"2010-07-25 19:30:00",109,0.602,775.1023
"2010-07-25 20:00:00",110,0.616,775.1023
"2010-07-25 20:30:00",111,0.606,775.2387
"2010-07-25 21:00:00",112,0.611,775.2619
"2010-07-25 21:30:00",113,0.606,775.3209
"2010-07-25 22:00:00",114,0.605,775.3012
"2010-07-25 22:30:00",115,0.607,775.3203
"2010-07-25 23:00:00",116,0.608,775.3269
"2010-07-25 23:30:00",117,0.611,775.328
"2010-07-26 00:00:00",118,0.61,775.3284
"2010-07-26 00:30:00",119,0.61,775.4649
"2010-07-26 01:00:00",120,0.61,775.4649
"2010-07-26 01:30:00",121,0.611,775.3284
"2010-07-26 02:00:00",122,0.61,775.4709
"2010-07-26 02:30:00",123,0.61,775.4785
"2010-07-26 03:00:00",124,0.612,775.4876
"2010-07-26 03:30:00",125,0.611,775.3555
"2010-07-26 04:00:00",126,0.613,775.3583
"2010-07-26 04:30:00",127,0.612,775.4949
"2010-07-26 05:00:00",128,0.611,775.4949
"2010-07-26 05:30:00",129,0.612,775.3583
"2010-07-26 06:00:00",130,0.612,775.3583
"2010-07-26 06:30:00",131,0.612,775.4978
"2010-07-26 07:00:00",132,0.61,775.364
"2010-07-26 07:30:00",133,0.61,775.2265
"2010-07-26 08:00:00",134,0.609,775.0871
"2010-07-26 08:30:00",135,0.608,775.0854
"2010-07-26 09:00:00",136,0.606,775.0171
"2010-07-26 09:30:00",137,0.602,774.9855
"2010-07-26 10:00:00",138,0.598,774.8774
"2010-07-26 10:30:00",139,0.598,774.8681
"2010-07-26 11:00:00",140,0.596,774.7892
"2010-07-26 11:30:00",141,0.609,774.885
"2010-07-26 12:00:00",142,0.604,774.8585
"2010-07-26 12:30:00",143,0.607,774.7358
"2010-07-26 13:00:00",144,0.612,774.7303
"2010-07-26 13:30:00",145,0.613,774.7326
"2010-07-26 14:00:00",146,0.622,774.6035
"2010-07-26 14:30:00",147,0.621,774.5221
"2010-07-26 15:00:00",148,0.637,774.5137
"2010-07-26 15:30:00",149,0.63,774.579
"2010-07-26 16:00:00",150,0.637,774.6139
"2010-07-26 16:30:00",151,0.644,774.3698
"2010-07-26 17:00:00",152,0.646,774.2341
"2010-07-26 17:30:00",153,0.656,774.236
"2010-07-26 18:00:00",154,0.655,774.1243
"2010-07-26 18:30:00",155,0.658,774.1487
"2010-07-26 19:00:00",156,0.659,774.0535
"2010-07-26 19:30:00",157,0.665,773.8936
"2010-07-26 20:00:00",158,0.665,773.7565
"2010-07-26 20:30:00",159,0.665,773.6258
"2010-07-26 21:00:00",160,0.666,773.6249
"2010-07-26 21:30:00",161,0.669,773.5256
"2010-07-26 22:00:00",162,0.669,773.4869
"2010-07-26 22:30:00",163,0.669,773.3752
"2010-07-26 23:00:00",164,0.669,773.4045
"2010-07-26 23:30:00",165,0.669,773.4137
"2010-07-27 00:00:00",166,0.669,773.2809
"2010-07-27 00:30:00",167,0.67,773.1461
"2010-07-27 01:00:00",168,0.67,773.1711
"2010-07-27 01:30:00",169,0.669,773.0375
"2010-07-27 02:00:00",170,0.67,772.901
"2010-07-27 02:30:00",171,0.669,772.7645
"2010-07-27 03:00:00",172,0.67,772.5597
"2010-07-27 03:30:00",173,0.67,772.5597
"2010-07-27 04:00:00",174,0.671,772.2867
"2010-07-27 04:30:00",175,0.671,772.1501
"2010-07-27 05:00:00",176,0.668,772.1523
"2010-07-27 05:30:00",177,0.67,772.082
"2010-07-27 06:00:00",178,0.668,771.9454
"2010-07-27 06:30:00",179,0.67,771.809
"2010-07-27 07:00:00",180,0.669,771.6724
"2010-07-27 07:30:00",181,0.668,771.4335
"2010-07-27 08:00:00",182,0.668,771.4406
"2010-07-27 08:30:00",183,0.669,771.4384
"2010-07-27 09:00:00",184,0.669,771.2141
"2010-07-27 09:30:00",185,0.673,771.1921
"2010-07-27 10:00:00",186,0.673,771.1487
"2010-07-27 10:30:00",187,0.676,771.0328
"2010-07-27 11:00:00",188,0.684,771.3115
"2010-07-27 11:30:00",189,0.679,771.0359
"2010-07-27 12:00:00",190,0.69,771.1687
"2010-07-27 12:30:00",191,0.682,771.0934
"2010-07-27 13:00:00",192,0.691,771.0782
"2010-07-27 13:30:00",193,0.692,771.0768
"2010-07-27 14:00:00",194,0.691,771.2025
"2010-07-27 14:30:00",195,0.694,771.1176
"2010-07-27 15:00:00",196,0.698,771.0828
"2010-07-27 15:30:00",197,0.699,771.1168
"2010-07-27 16:00:00",198,0.705,771.1028
"2010-07-27 16:30:00",199,0.711,770.9593
"2010-07-27 17:00:00",200,0.712,771.1127
"2010-07-27 17:30:00",201,0.716,771.1167
"2010-07-27 18:00:00",202,0.718,770.5712
"2010-07-27 18:30:00",203,0.721,770.8439
"2010-07-27 19:00:00",204,0.724,770.8439
"2010-07-27 19:30:00",205,0.725,770.7075
"2010-07-27 20:00:00",206,0.731,770.7075
"2010-07-27 20:30:00",207,0.729,770.7317
"2010-07-27 21:00:00",208,0.729,770.8231
"2010-07-27 21:30:00",209,0.73,770.851
"2010-07-27 22:00:00",210,0.729,770.7954
"2010-07-27 22:30:00",211,0.731,770.8186
"2010-07-27 23:00:00",212,0.732,771.0969
"2010-07-27 23:30:00",213,0.73,771.1722
"2010-07-28 00:00:00",214,0.73,771.2961
"2010-07-28 00:30:00",215,0.732,771.3993
"2010-07-28 01:00:00",216,0.733,771.5381
"2010-07-28 01:30:00",217,0.733,771.6732
"2010-07-28 02:00:00",218,0.733,771.4038
"2010-07-28 02:30:00",219,0.733,771.2688
"2010-07-28 03:00:00",220,0.734,771.154
"2010-07-28 03:30:00",221,0.734,771.1555
"2010-07-28 04:00:00",222,0.733,771.155
"2010-07-28 04:30:00",223,0.733,771.292
"2010-07-28 05:00:00",224,0.733,771.1555
"2010-07-28 05:30:00",225,0.733,771.0189
"2010-07-28 06:00:00",226,0.733,771.1555
"2010-07-28 06:30:00",227,0.733,771.1555
"2010-07-28 07:00:00",228,0.733,771.1555
"2010-07-28 07:30:00",229,0.733,771.2881
"2010-07-28 08:00:00",230,0.732,771.2645
"2010-07-28 08:30:00",231,0.731,771.4014
"2010-07-28 09:00:00",232,0.73,771.5359
"2010-07-28 09:30:00",233,0.732,771.6638
"2010-07-28 10:00:00",234,0.735,771.7735
"2010-07-28 10:30:00",235,0.738,771.7219
"2010-07-28 11:00:00",236,0.733,771.945
"2010-07-28 11:30:00",237,0.735,771.9243
"2010-07-28 12:00:00",238,0.736,772.0769
"2010-07-28 12:30:00",239,0.74,772.0837
"2010-07-28 13:00:00",240,0.741,772.0831
"2010-07-28 13:30:00",241,0.747,772.288
"2010-07-28 14:00:00",242,0.753,772.2828
"2010-07-28 14:30:00",243,0.758,772.2855
"2010-07-28 15:00:00",244,0.754,772.422
"2010-07-28 15:30:00",245,0.755,772.4385
"2010-07-28 16:00:00",246,0.761,772.5787
"2010-07-28 16:30:00",247,0.762,772.5657
"2010-07-28 17:00:00",248,0.768,772.5586
"2010-07-28 17:30:00",249,0.768,772.5584
"2010-07-28 18:00:00",250,0.775,772.5584
"2010-07-28 18:30:00",251,0.781,772.4221
"2010-07-28 19:00:00",252,0.777,772.4221
"2010-07-28 19:30:00",253,0.78,772.4221
"2010-07-28 20:00:00",254,0.776,772.4221
"2010-07-28 20:30:00",255,0.778,772.4258
"2010-07-28 21:00:00",256,0.778,772.4996
"2010-07-28 21:30:00",257,0.779,772.3928
"2010-07-28 22:00:00",258,0.779,772.6758
"2010-07-28 22:30:00",259,0.778,772.7724
"2010-07-28 23:00:00",260,0.778,772.7914
"2010-07-28 23:30:00",261,0.777,772.868
"2010-07-29 00:00:00",262,0.779,773.0079
"2010-07-29 00:30:00",263,0.779,773.008
"2010-07-29 01:00:00",264,0.78,773.0125
"2010-07-29 01:30:00",265,0.783,773.0195
"2010-07-29 02:00:00",266,0.781,773.0204
"2010-07-29 02:30:00",267,0.782,773.0197
"2010-07-29 03:00:00",268,0.782,773.0137
"2010-07-29 03:30:00",269,0.784,773.1687
"2010-07-29 04:00:00",270,0.781,773.0214
"2010-07-29 04:30:00",271,0.781,773.1478
"2010-07-29 05:00:00",272,0.782,773.0125
"2010-07-29 05:30:00",273,0.782,772.8878
"2010-07-29 06:00:00",274,0.783,772.8929
"2010-07-29 06:30:00",275,0.783,772.8823
"2010-07-29 07:00:00",276,0.784,772.8721
"2010-07-29 07:30:00",277,0.784,772.9398
"2010-07-29 08:00:00",278,0.784,772.9225
"2010-07-29 08:30:00",279,0.789,772.8962
"2010-07-29 09:00:00",280,0.79,773.0764
"2010-07-29 09:30:00",281,0.789,772.8993
"2010-07-29 10:00:00",282,0.784,773.0267
"2010-07-29 10:30:00",283,0.79,773.1348
"2010-07-29 11:00:00",284,0.789,773.1334
"2010-07-29 11:30:00",285,0.785,773.2813
"2010-07-29 12:00:00",286,0.792,773.3951
"2010-07-29 12:30:00",287,0.796,773.6542
"2010-07-29 13:00:00",288,0.8,773.7325
"2010-07-29 13:30:00",289,0.807,773.897
"2010-07-29 14:00:00",290,0.815,773.8627
"2010-07-29 14:30:00",291,0.81,773.9991
"2010-07-29 15:00:00",292,0.817,774.1354
"2010-07-29 15:30:00",293,0.819,774.1569
"2010-07-29 16:00:00",294,0.821,774.1647
"2010-07-29 16:30:00",295,0.829,774.1649
"2010-07-29 17:00:00",296,0.831,774.1646
"2010-07-29 17:30:00",297,0.833,774.131
"2010-07-29 18:00:00",298,0.835,774.0557
"2010-07-29 18:30:00",299,0.837,774.0303
"2010-07-29 19:00:00",300,0.837,774.0287
"2010-07-29 19:30:00",301,0.836,774.1638
"2010-07-29 20:00:00",302,0.84,774.1649
"2010-07-29 20:30:00",303,0.838,774.1178
"2010-07-29 21:00:00",304,0.838,774.2473
"2010-07-29 21:30:00",305,0.838,774.2707
"2010-07-29 22:00:00",306,0.835,774.3516
"2010-07-29 22:30:00",307,0.838,774.6443
"2010-07-29 23:00:00",308,0.839,774.586
"2010-07-29 23:30:00",309,0.838,774.8861
"2010-07-30 00:00:00",310,0.837,774.9753
"2010-07-30 00:30:00",311,0.839,774.9823
"2010-07-30 01:00:00",312,0.836,774.9787
"2010-07-30 01:30:00",313,0.84,775.1198
"2010-07-30 02:00:00",314,0.84,775.118
"2010-07-30 02:30:00",315,0.84,775.2552
"2010-07-30 03:00:00",316,0.84,775.2556
"2010-07-30 03:30:00",317,0.842,775.2589
"2010-07-30 04:00:00",318,0.841,775.2578
"2010-07-30 04:30:00",319,0.841,775.226
"2010-07-30 05:00:00",320,0.839,775.26
"2010-07-30 05:30:00",321,0.84,775.2581
"2010-07-30 06:00:00",322,0.84,775.2255
"2010-07-30 06:30:00",323,0.84,774.9872
"2010-07-30 07:00:00",324,0.842,775.0895
"2010-07-30 07:30:00",325,0.84,774.9832
"2010-07-30 08:00:00",326,0.839,774.9752
"2010-07-30 08:30:00",327,0.839,774.9757
"2010-07-30 09:00:00",328,0.842,775.0054
"2010-07-30 09:30:00",329,0.84,775.1042
"2010-07-30 10:00:00",330,0.842,775.2677
"2010-07-30 10:30:00",331,0.841,775.2238
"2010-07-30 11:00:00",332,0.844,775.2638
"2010-07-30 11:30:00",333,0.842,775.2606
"2010-07-30 12:00:00",334,0.846,775.3928
"2010-07-30 12:30:00",335,0.847,775.392
"2010-07-30 13:00:00",336,0.851,775.3688
"2010-07-30 13:30:00",337,0.863,775.3623
"2010-07-30 14:00:00",338,0.852,775.3622
"2010-07-30 14:30:00",339,0.847,775.2487
"2010-07-30 15:00:00",340,0.868,775.2528
"2010-07-30 15:30:00",341,0.873,775.3761
"2010-07-30 16:00:00",342,0.884,775.2522
"2010-07-30 16:30:00",343,0.885,775.1191
"2010-07-30 17:00:00",344,0.887,774.9829
"2010-07-30 17:30:00",345,0.895,774.9829
"2010-07-30 18:00:00",346,0.896,774.8397
"2010-07-30 18:30:00",347,0.904,774.7777
"2010-07-30 19:00:00",348,0.904,774.6421
"2010-07-30 19:30:00",349,0.907,774.6421
"2010-07-30 20:00:00",350,0.906,774.3694
"2010-07-30 20:30:00",351,0.906,774.3345
"2010-07-30 21:00:00",352,0.904,774.2463
"2010-07-30 21:30:00",353,0.904,774.2538
"2010-07-30 22:00:00",354,0.904,774.257
"2010-07-30 22:30:00",355,0.905,774.2767
"2010-07-30 23:00:00",356,0.904,774.3859
"2010-07-30 23:30:00",357,0.903,774.3519
"2010-07-31 00:00:00",358,0.9,774.2837
"2010-07-31 00:30:00",359,0.905,774.1493
"2010-07-31 01:00:00",360,0.905,774.0206
"2010-07-31 01:30:00",361,0.908,773.9022
"2010-07-31 02:00:00",362,0.905,773.7676
"2010-07-31 02:30:00",363,0.905,773.7677
"2010-07-31 03:00:00",364,0.905,773.4948
"2010-07-31 03:30:00",365,0.905,773.3824
"2010-07-31 04:00:00",366,0.905,773.2808
"2010-07-31 04:30:00",367,0.904,773.0461
"2010-07-31 05:00:00",368,0.904,772.676
"2010-07-31 05:30:00",369,0.904,772.6761
"2010-07-31 06:00:00",370,0.906,772.5397
"2010-07-31 06:30:00",371,0.904,772.5397
"2010-07-31 07:00:00",372,0.904,772.4044
"2010-07-31 07:30:00",373,0.906,772.5397
"2010-07-31 08:00:00",374,0.909,772.4052
"2010-07-31 08:30:00",375,0.91,772.5631
"2010-07-31 09:00:00",376,0.91,772.5722
"2010-07-31 09:30:00",377,0.91,772.4589
"2010-07-31 10:00:00",378,0.911,772.3231
"2010-07-31 10:30:00",379,0.912,772.1746
"2010-07-31 11:00:00",380,0.914,772.0205
"2010-07-31 11:30:00",381,0.917,772.0634
"2010-07-31 12:00:00",382,0.916,771.9257
"2010-07-31 12:30:00",383,0.917,771.7873
"2010-07-31 13:00:00",384,0.919,771.7209
"2010-07-31 13:30:00",385,0.923,771.7128
"2010-07-31 14:00:00",386,0.923,771.5569
"2010-07-31 14:30:00",387,0.928,771.4189
"2010-07-31 15:00:00",388,0.932,771.3166
"2010-07-31 15:30:00",389,0.934,771.1802
"2010-07-31 16:00:00",390,0.931,771.1802
"2010-07-31 16:30:00",391,0.928,770.911
"2010-07-31 17:00:00",392,0.931,770.8164
"2010-07-31 17:30:00",393,0.939,770.8076
"2010-07-31 18:00:00",394,0.936,770.6791
"2010-07-31 18:30:00",395,0.94,770.7402
"2010-07-31 19:00:00",396,0.941,770.7119
"2010-07-31 19:30:00",397,0.943,770.6934
"2010-07-31 20:00:00",398,0.944,770.8339
"2010-07-31 20:30:00",399,0.942,770.834
"2010-07-31 21:00:00",400,0.944,770.9022
"2010-07-31 21:30:00",401,0.945,771.0387
"2010-07-31 22:00:00",402,0.948,771.1752
"2010-07-31 22:30:00",403,0.949,771.3131
"2010-07-31 23:00:00",404,0.947,771.6716
"2010-07-31 23:30:00",405,0.945,771.7446
"2010-08-01 00:00:00",406,0.943,771.9548
"2010-08-01 00:30:00",407,0.946,771.9208
"2010-08-01 01:00:00",408,0.945,772.1596
"2010-08-01 01:30:00",409,0.944,772.2961
"2010-08-01 02:00:00",410,0.944,772.4326
"2010-08-01 02:30:00",411,0.941,772.4326
"2010-08-01 03:00:00",412,0.944,772.7002
"2010-08-01 03:30:00",413,0.943,772.5684
"2010-08-01 04:00:00",414,0.943,772.8362
"2010-08-01 04:30:00",415,0.944,772.8198
"2010-08-01 05:00:00",416,0.94,772.813
"2010-08-01 05:30:00",417,0.939,772.9491
"2010-08-01 06:00:00",418,0.939,773.0173
"2010-08-01 06:30:00",419,0.939,773.3584
"2010-08-01 07:00:00",420,0.942,773.3584
"2010-08-01 07:30:00",421,0.944,773.3584
"2010-08-01 08:00:00",422,0.944,773.4949
"2010-08-01 08:30:00",423,0.946,773.7678
"2010-08-01 09:00:00",424,0.947,773.7666
"2010-08-01 09:30:00",425,0.95,773.897
"2010-08-01 10:00:00",426,0.946,774.0402
"2010-08-01 10:30:00",427,0.947,774.1399
"2010-08-01 11:00:00",428,0.953,774.177
"2010-08-01 11:30:00",429,0.949,774.2859
"2010-08-01 12:00:00",430,0.953,774.273
"2010-08-01 12:30:00",431,0.949,774.2546
"2010-08-01 13:00:00",432,0.954,774.5269
"2010-08-01 13:30:00",433,0.963,774.5269
"2010-08-01 14:00:00",434,0.957,774.6623
"2010-08-01 14:30:00",435,0.96,774.78
"2010-08-01 15:00:00",436,0.959,774.8657
"2010-08-01 15:30:00",437,0.962,774.936
"2010-08-01 16:00:00",438,0.962,774.9362
"2010-08-01 16:30:00",439,0.966,775.1407
"2010-08-01 17:00:00",440,0.965,775.1317
"2010-08-01 17:30:00",441,0.968,775.1149
"2010-08-01 18:00:00",442,0.972,775.2385
"2010-08-01 18:30:00",443,0.974,775.1786
"2010-08-01 19:00:00",444,0.986,775.3426
"2010-08-01 19:30:00",445,0.976,775.4874
"2010-08-01 20:00:00",446,0.972,775.7155
"2010-08-01 20:30:00",447,0.988,775.9279
"2010-08-01 21:00:00",448,0.977,776.3349
"2010-08-01 21:30:00",449,0.972,776.5351
"2010-08-01 22:00:00",450,0.979,776.8762
"2010-08-01 22:30:00",451,0.979,777.1531
"2010-08-01 23:00:00",452,0.978,777.4255
"2010-08-01 23:30:00",453,0.975,777.6291
"2010-08-02 00:00:00",454,0.979,777.7322
"2010-08-02 00:30:00",455,0.978,777.9244
"2010-08-02 01:00:00",456,0.981,777.983
"2010-08-02 01:30:00",457,0.987,778.4046
"2010-08-02 02:00:00",458,0.989,778.5433
"2010-08-02 02:30:00",459,0.988,778.7627
"2010-08-02 03:00:00",460,0.988,778.8464
"2010-08-02 03:30:00",461,0.988,778.9832
"2010-08-02 04:00:00",462,0.99,779.1197
"2010-08-02 04:30:00",463,0.989,779.2562
"2010-08-02 05:00:00",464,0.987,779.5291
"2010-08-02 05:30:00",465,0.988,779.5974
"2010-08-02 06:00:00",466,0.986,779.5974
"2010-08-02 06:30:00",467,0.984,779.7338
"2010-08-02 07:00:00",468,0.988,779.9385
"2010-08-02 07:30:00",469,0.985,780.075
"2010-08-02 08:00:00",470,0.987,780.2025
"2010-08-02 08:30:00",471,0.986,780.4551
"2010-08-02 09:00:00",472,0.98,780.639
"2010-08-02 09:30:00",473,0.98,780.8668
"2010-08-02 10:00:00",474,0.978,780.9544
"2010-08-02 10:30:00",475,0.979,781.2173
"2010-08-02 11:00:00",476,0.986,781.3406
"2010-08-02 11:30:00",477,0.984,781.4292
"2010-08-02 12:00:00",478,0.987,781.5953
"2010-08-02 12:30:00",479,0.989,781.6633
"2010-08-02 13:00:00",480,0.996,781.9329
"2010-08-02 13:30:00",481,0.995,781.9158
"2010-08-02 14:00:00",482,1.005,782.178
"2010-08-02 14:30:00",483,1.002,782.1776
"2010-08-02 15:00:00",484,1.006,782.331
"2010-08-02 15:30:00",485,1.003,782.3336
"2010-08-02 16:00:00",486,1.01,782.3435
"2010-08-02 16:30:00",487,1.034,782.3436
"2010-08-02 17:00:00",488,1.026,782.3311
"2010-08-02 17:30:00",489,1.032,782.3146
"2010-08-02 18:00:00",490,1.04,782.312
"2010-08-02 18:30:00",491,1.037,782.4424
"2010-08-02 19:00:00",492,1.044,782.3087
"2010-08-02 19:30:00",493,1.032,782.2971
"2010-08-02 20:00:00",494,1.036,782.4391
"2010-08-02 20:30:00",495,1.038,782.5417
"2010-08-02 21:00:00",496,1.041,782.5056
"2010-08-02 21:30:00",497,1.042,782.6736
"2010-08-02 22:00:00",498,1.043,782.6904
"2010-08-02 22:30:00",499,1.047,782.6759
"2010-08-02 23:00:00",500,1.045,782.7792
"2010-08-02 23:30:00",501,1.044,783.0296
"2010-08-03 00:00:00",502,1.046,783.1502
"2010-08-03 00:30:00",503,1.048,783.2878
"2010-08-03 01:00:00",504,1.049,783.5607
"2010-08-03 01:30:00",505,1.051,783.5607
"2010-08-03 02:00:00",506,1.053,783.6289
"2010-08-03 02:30:00",507,1.05,783.7653
"2010-08-03 03:00:00",508,1.051,783.7653
"2010-08-03 03:30:00",509,1.048,783.7653
"2010-08-03 04:00:00",510,1.051,783.9017
"2010-08-03 04:30:00",511,1.051,783.9017
"2010-08-03 05:00:00",512,1.051,783.9017
"2010-08-03 05:30:00",513,1.051,783.97
"2010-08-03 06:00:00",514,1.053,783.97
"2010-08-03 06:30:00",515,1.057,783.973
"2010-08-03 07:00:00",516,1.055,784.1115
"2010-08-03 07:30:00",517,1.055,784.1124
"2010-08-03 08:00:00",518,1.055,784.2462
"2010-08-03 08:30:00",519,1.048,784.2443
"2010-08-03 09:00:00",520,1.046,784.4235
"2010-08-03 09:30:00",521,1.039,784.3691
"2010-08-03 10:00:00",522,1.046,784.2687
"2010-08-03 10:30:00",523,1.05,784.3904
"2010-08-03 11:00:00",524,1.046,784.5009
"2010-08-03 11:30:00",525,1.044,784.4951
"2010-08-03 12:00:00",526,1.051,784.6312
"2010-08-03 12:30:00",527,1.058,784.4904
"2010-08-03 13:00:00",528,1.062,784.5506
"2010-08-03 13:30:00",529,1.056,784.3477
"2010-08-03 14:00:00",530,1.062,784.2788
"2010-08-03 14:30:00",531,1.063,784.2842
"2010-08-03 15:00:00",532,1.074,784.2757
"2010-08-03 15:30:00",533,1.069,784.3517
"2010-08-03 16:00:00",534,1.078,784.3398
"2010-08-03 16:30:00",535,1.09,784.282
"2010-08-03 17:00:00",536,1.093,784.1428
"2010-08-03 17:30:00",537,1.083,783.9368
"2010-08-03 18:00:00",538,1.095,783.6555
"2010-08-03 18:30:00",539,1.101,783.66
"2010-08-03 19:00:00",540,1.1,783.5101
"2010-08-03 19:30:00",541,1.113,783.4092
"2010-08-03 20:00:00",542,1.111,783.2369
"2010-08-03 20:30:00",543,1.11,783.1409
"2010-08-03 21:00:00",544,1.112,783.1623
"2010-08-03 21:30:00",545,1.112,783.0558
"2010-08-03 22:00:00",546,1.115,782.9492
"2010-08-03 22:30:00",547,1.109,782.8989
"2010-08-03 23:00:00",548,1.11,782.8466
"2010-08-03 23:30:00",549,1.106,782.7792
"2010-08-04 00:00:00",550,1.108,782.6428
"2010-08-04 00:30:00",551,1.109,782.4381
"2010-08-04 01:00:00",552,1.109,782.4471
"2010-08-04 01:30:00",553,1.11,782.3284
"2010-08-04 02:00:00",554,1.109,782.0599
"2010-08-04 02:30:00",555,1.111,782.058
"2010-08-04 03:00:00",556,1.109,781.9221
