"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:apr08_g1ice1.CR1","16968","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2008-09-13 00:00:00",59,14.15,12.54,"2008-09-12 07:30:00",13.43,0.352,"2008-09-12 16:15:00",-8.38,-4.399
"2008-09-14 00:00:00",60,14.02,12.58,"2008-09-13 07:30:00",13.42,2.417,"2008-09-13 15:28:30",-3.771,-2.002
"2008-09-15 00:00:00",61,13.94,12.6,"2008-09-14 08:00:00",13.34,2.139,"2008-09-14 14:25:00",-2.72,-0.609
"2008-09-16 00:00:00",62,14.11,12.55,"2008-09-15 08:00:00",13.38,5.831,"2008-09-15 15:15:00",-6.796,-1.91
"2008-09-17 00:00:00",63,13.94,12.6,"2008-09-16 08:00:00",13.36,5.463,"2008-09-16 14:06:00",-3.084,0.376
"2008-09-18 00:00:00",64,13.99,12.61,"2008-09-17 08:00:00",13.4,1.416,"2008-09-17 15:13:30",-6.005,-1.015
"2008-09-19 00:00:00",65,14.02,12.59,"2008-09-18 07:30:00",13.4,-0.649,"2008-09-18 16:55:30",-6.028,-3.343
"2008-09-20 00:00:00",66,14.05,12.57,"2008-09-19 08:00:00",13.38,0.734,"2008-09-19 16:09:00",-4.808,-2.096
"2008-09-21 00:00:00",67,14.12,12.55,"2008-09-20 08:00:00",13.46,-1.629,"2008-09-20 15:26:00",-9.73,-5.169
"2008-09-22 00:00:00",68,14.27,12.51,"2008-09-21 08:00:00",13.43,2.865,"2008-09-21 16:11:30",-11.65,-6.872
"2008-09-23 00:00:00",69,14.25,12.51,"2008-09-22 08:00:00",13.44,0.16,"2008-09-22 13:55:00",-11.02,-6.891
"2008-09-24 00:00:00",70,14.19,12.54,"2008-09-23 08:00:00",13.42,3.014,"2008-09-23 13:53:30",-10.33,-5.709
"2008-09-25 00:00:00",71,14.25,12.51,"2008-09-24 08:00:00",13.42,2.887,"2008-09-24 15:03:30",-11.39,-7.029
"2008-09-26 00:00:00",72,14.23,12.52,"2008-09-25 08:00:00",13.42,3.014,"2008-09-25 15:11:00",-10.63,-6.132
"2008-09-27 00:00:00",73,14.19,12.53,"2008-09-26 08:00:00",13.4,0.863,"2008-09-26 14:55:00",-9.53,-6.217
"2008-09-28 00:00:00",74,14.18,12.53,"2008-09-27 08:00:00",13.4,-2.079,"2008-09-27 15:43:30",-9.25,-5.964
"2008-09-29 00:00:00",75,14.05,12.57,"2008-09-28 08:00:00",13.38,-1.225,"2008-09-28 13:59:00",-8.35,-4.347
"2008-09-30 00:00:00",76,14.3,12.49,"2008-09-29 08:30:00",13.38,-0.628,"2008-09-29 15:04:30",-12.67,-7.436
"2008-10-01 00:00:00",77,14,12.58,"2008-09-30 07:00:00",13.33,0.011,"2008-09-30 14:56:30",-6.841,-2.903
"2008-10-02 00:00:00",78,14.09,12.58,"2008-10-01 08:30:00",13.32,2.096,"2008-10-01 14:39:30",-6.028,-3.27
"2008-10-03 00:00:00",79,14.09,12.57,"2008-10-02 08:00:00",13.35,1.245,"2008-10-02 14:32:00",-6.688,-3.041
"2008-10-04 00:00:00",80,14.21,12.6,"2008-10-03 08:30:00",13.42,-0.777,"2008-10-03 00:00:30",-12.86,-5.553
"2008-10-05 00:00:00",81,14.26,12.52,"2008-10-04 08:30:00",13.44,-3.579,"2008-10-04 15:27:00",-13.1,-9.51
"2008-10-06 00:00:00",82,14.33,12.48,"2008-10-05 08:30:00",13.43,-2.935,"2008-10-05 14:20:00",-14.37,-10.3
"2008-10-07 00:00:00",83,14.41,12.46,"2008-10-06 08:30:00",13.47,-4.636,"2008-10-06 17:06:00",-17.62,-12.16
"2008-10-08 00:00:00",84,14.37,12.46,"2008-10-07 08:30:00",13.47,-6.313,"2008-10-07 13:58:00",-15.67,-12.57
"2008-10-09 00:00:00",85,14.36,12.46,"2008-10-08 08:30:00",13.47,-5.657,"2008-10-08 15:54:00",-17.49,-13.59
"2008-10-10 00:00:00",86,14.44,12.45,"2008-10-09 08:30:00",13.49,-7.415,"2008-10-09 16:54:30",-18.42,-13.75
"2008-10-11 00:00:00",87,14.08,12.58,"2008-10-10 08:30:00",13.35,-3.879,"2008-10-10 23:58:00",-9.39,-5.478
"2008-10-12 00:00:00",88,14.11,12.58,"2008-10-11 09:00:00",13.34,-2.42,"2008-10-11 13:57:30",-8.02,-4.813
"2008-10-13 00:00:00",89,14.12,12.58,"2008-10-12 08:00:00",13.36,-3.859,"2008-10-12 14:21:00",-11.07,-6.591
"2008-10-14 00:00:00",90,14.25,12.53,"2008-10-13 09:00:00",13.42,-7.04,"2008-10-13 15:42:30",-12.08,-9.94
"2008-10-15 00:00:00",91,14.19,12.53,"2008-10-14 09:00:00",13.34,-5.788,"2008-10-14 16:28:30",-11.7,-8.59
"2008-10-16 00:00:00",92,14.2,12.55,"2008-10-15 07:30:00",13.34,-6.093,"2008-10-15 15:18:30",-9.66,-8.01
"2008-10-17 00:00:00",93,14.25,12.52,"2008-10-16 09:00:00",13.36,-4.419,"2008-10-16 15:07:00",-13.71,-9.84
"2008-10-18 00:00:00",94,14.28,12.52,"2008-10-17 09:00:00",13.38,-5.526,"2008-10-17 14:37:00",-14.45,-10.81
"2008-10-19 00:00:00",95,14.33,12.49,"2008-10-18 09:00:00",13.38,-4.939,"2008-10-18 14:38:00",-14.92,-11.68
"2008-10-20 00:00:00",96,14.23,12.54,"2008-10-19 09:00:00",13.34,-4.096,"2008-10-19 14:37:30",-13.18,-9.61
